                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.51724,                0.58183,                0.89999,                0.91675,                      1,                 0.9785,                0.75121,                0.95645,                 0.7289,                 1.2797,             0.00021471,             0.00021471,             0.00021471
                     90,                0.54742,                0.60946,                0.95676,                 0.9146,                      1,                  0.973,                 0.7462,                0.93693,                0.71849,                 1.2581,             0.00019821,             0.00019821,             0.00019821
                     91,                0.46219,                0.70694,                0.87925,                0.91424,                      1,                 0.9675,                0.74634,                0.91396,                0.72305,                 1.2295,              0.0001817,              0.0001817,              0.0001817
                     92,                0.43749,                0.68017,                0.88769,                0.91876,                      1,                  0.973,                0.74343,                0.90378,                 0.7181,                 1.2118,              0.0001652,              0.0001652,              0.0001652
                     93,                0.45995,                0.68069,                0.89855,                0.91876,                      1,                  0.973,                0.74343,                0.90378,                 0.7181,                 1.2118,              0.0001487,              0.0001487,              0.0001487
                     94,                0.44676,                0.67145,                0.87249,                0.91908,                      1,                  0.973,                0.75095,                0.90295,                0.72008,                 1.2028,             0.00013219,             0.00013219,             0.00013219
                     95,                 0.4685,                0.63398,                0.88006,                0.92041,                      1,                 0.9675,                0.74207,                0.90422,                0.71967,                  1.197,             0.00011569,             0.00011569,             0.00011569
                     96,                0.48925,                0.67357,                0.88284,                0.92149,                      1,                 0.9675,                0.73853,                0.90532,                 0.7196,                  1.195,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.46272,                0.66272,                0.85333,                0.92149,                      1,                 0.9675,                0.73853,                0.90532,                 0.7196,                  1.195,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.41488,                0.63556,                0.84194,                0.92293,                      1,                  0.973,                0.74932,                0.90792,                0.71607,                 1.2006,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.44792,                0.65972,                0.86935,                0.92436,                      1,                 0.9785,                0.75513,                 0.9142,                0.71302,                 1.2075,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.43661,                0.65094,                0.87964,                 0.9261,                      1,                 0.9785,                0.75608,                0.92381,                0.71165,                 1.2166,             3.3173e-05,             3.3173e-05,             3.3173e-05
